Store,Website,Page URL,Top Category,Category,Brand,Total,Out of Stock,catalog_id
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/accesorii?initialMap=c,c&initialQuery=femei/accesorii&map=category-1,category-2,brand&query=/femei/accesorii/amina-muaddi&searchState",Women,Accessories,AMINA MUADDI,0,0,13989
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/genti?initialMap=c,c&initialQuery=femei/genti&map=category-1,category-2,brand&query=/femei/genti/amina-muaddi&searchState",Women,Bags,AMINA MUADDI,8,0,13990
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/accesorii/curele-si-bijuterii?initialMap=c,c,c&initialQuery=femei/accesorii/curele-si-bijuterii&map=category-1,category-2,category-3,brand,subcategorie&query=/femei/accesorii/curele-si-bijuterii/amina-muaddi/bijuterii&searchState",Women,Jewelry,AMINA MUADDI,0,0,13992
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/incaltaminte?initialMap=c,c&initialQuery=femei/incaltaminte&map=category-1,category-2,brand&query=/femei/incaltaminte/amina-muaddi&searchState",Women,Shoes,AMINA MUADDI,45,0,13993
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/genti?initialMap=c,c&initialQuery=femei/genti&map=category-1,category-2,brand&query=/femei/genti/aquazzura&searchState",Women,Bags,AQUAZZURA,3,0,14010
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/incaltaminte?initialMap=c,c&initialQuery=femei/incaltaminte&map=category-1,category-2,brand&query=/femei/incaltaminte/aquazzura&searchState",Women,Shoes,AQUAZZURA,34,0,14013
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/barbati/accesorii?initialMap=c,c&initialQuery=barbati/accesorii&map=category-1,category-2,brand&query=/barbati/accesorii/bally&searchState",Men,Accessories,BALLY,0,0,50582
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/barbati/genti?initialMap=c,c&initialQuery=barbati/genti&map=category-1,category-2,brand&query=/barbati/genti/bally&searchState",Men,Bags,BALLY,0,0,50581
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/barbati/imbracaminte?initialMap=c,c&initialQuery=barbati/imbracaminte&map=category-1,category-2,brand&query=/barbati/imbracaminte/bally&searchState",Men,Clothing,BALLY,0,0,50579
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/barbati/accesorii/curele-si-bijuterii?initialMap=c,c,c&initialQuery=barbati/accesorii/curele-si-bijuterii&map=category-1,category-2,category-3,brand,subcategorie&query=/barbati/accesorii/curele-si-bijuterii/bally/bijuterii&searchState",Men,Jewelry,BALLY,0,0,50583
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/barbati/incaltaminte?initialMap=c,c&initialQuery=barbati/incaltaminte&map=category-1,category-2,brand&query=/barbati/incaltaminte/bally&searchState",Men,Shoes,BALLY,1,0,50580
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/accesorii?initialMap=c,c&initialQuery=femei/accesorii&map=category-1,category-2,brand&query=/femei/accesorii/bally&searchState",Women,Accessories,BALLY,0,0,50587
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/genti?initialMap=c,c&initialQuery=femei/genti&map=category-1,category-2,brand&query=/femei/genti/bally&searchState",Women,Bags,BALLY,0,0,50586
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/imbracaminte?initialMap=c,c&initialQuery=femei/imbracaminte&map=category-1,category-2,brand&query=/femei/imbracaminte/bally&searchState",Women,Clothing,BALLY,0,0,50584
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/accesorii/curele-si-bijuterii?initialMap=c,c,c&initialQuery=femei/accesorii/curele-si-bijuterii&map=category-1,category-2,category-3,brand,subcategorie&query=/femei/accesorii/curele-si-bijuterii/bally/bijuterii&searchState",Women,Jewelry,BALLY,0,0,50588
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/incaltaminte?initialMap=c,c&initialQuery=femei/incaltaminte&map=category-1,category-2,brand&query=/femei/incaltaminte/bally&searchState",Women,Shoes,BALLY,5,0,50585
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/barbati/accesorii?initialMap=c,c&initialQuery=barbati/accesorii&map=category-1,category-2,brand&query=/barbati/accesorii/casablanca&searchState",Men,Accessories,CASABLANCA,3,0,50592
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/barbati/genti?initialMap=c,c&initialQuery=barbati/genti&map=category-1,category-2,brand&query=/barbati/genti/casablanca&searchState",Men,Bags,CASABLANCA,0,0,50591
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/barbati/imbracaminte?initialMap=c,c&initialQuery=barbati/imbracaminte&map=category-1,category-2,brand&query=/barbati/imbracaminte/casablanca&searchState",Men,Clothing,CASABLANCA,41,0,50589
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/barbati/accesorii/curele-si-bijuterii?initialMap=c,c,c&initialQuery=barbati/accesorii/curele-si-bijuterii&map=category-1,category-2,category-3,brand,subcategorie&query=/barbati/accesorii/curele-si-bijuterii/casablanca/bijuterii&searchState",Men,Jewelry,CASABLANCA,0,0,50593
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/barbati/incaltaminte?initialMap=c,c&initialQuery=barbati/incaltaminte&map=category-1,category-2,brand&query=/barbati/incaltaminte/casablanca&searchState",Men,Shoes,CASABLANCA,5,0,50590
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/accesorii?initialMap=c,c&initialQuery=femei/accesorii&map=category-1,category-2,brand&query=/femei/accesorii/casablanca&searchState",Women,Accessories,CASABLANCA,0,0,50597
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/genti?initialMap=c,c&initialQuery=femei/genti&map=category-1,category-2,brand&query=/femei/genti/casablanca&searchState",Women,Bags,CASABLANCA,0,0,50596
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/imbracaminte?initialMap=c,c&initialQuery=femei/imbracaminte&map=category-1,category-2,brand&query=/femei/imbracaminte/casablanca&searchState",Women,Clothing,CASABLANCA,9,0,50594
TERMINAL OF FASHION,https://www.toff.ro/,"https://www.toff.ro/femei/accesorii/curele-si-bijuterii?initialMap=c,c,c&initialQuery=femei/accesorii/curele-si-bijuterii&map=category-1,category-2,category-3,brand,subcategorie&query=/femei/accesorii/curele-si-bijuterii/casablanca/bijuterii&searchState",Women,Jewelry,CASABLANCA,0,0,50598
